Control ID,Control Title,Implemented (Yes/No),Justification,Linked Document,Implementation Date,Review Date,Notes
A.2.1,AI system governance,Yes,Core governance structure established with AI Management Team and defined roles,docs/Clause5_Leadership_new/AIMS_Roles_and_Responsibilities.md,2024-12-19,2025-03-19,Leadership structure and RACI matrix implemented
A.2.2,AI system policies,Yes,Comprehensive AI management policy established with clear principles and objectives,docs/Clause5_Leadership_new/AI_Management_Policy.md,2024-12-19,2025-03-19,Policy covers ethical development, risk management, and transparency
A.2.3,AI system objectives,Yes,Measurable objectives defined for compliance, bias reduction, transparency, and performance,docs/Clause6_Planning_new/AI_Objectives_and_Planning.md,2024-12-19,2025-03-19,Strategic and operational objectives with KPIs
A.2.4,Organizational roles, responsibilities and authorities,Yes,Clear organizational structure with defined roles, responsibilities, and authorities,docs/Clause5_Leadership_new/AIMS_Roles_and_Responsibilities.md,2024-12-19,2025-03-19,RACI matrix and authority delegation framework
A.3.1,Resources,Partial,Basic resource allocation in place, but comprehensive resource planning needed,docs/Clause7_Support/AIMS_Resources.md,2024-12-19,2025-03-19,Resource planning to be enhanced in Clause 7
A.3.2,Competence,Partial,Team competence requirements defined, but training program needs development,docs/Clause7_Support/AIMS_Competence_and_Training.md,2024-12-19,2025-03-19,Training program to be developed in Clause 7
A.3.3,Awareness,Partial,Awareness requirements identified, but implementation program needed,docs/Clause7_Support/AIMS_Awareness_and_Communication.md,2024-12-19,2025-03-19,Awareness program to be developed in Clause 7
A.3.4,Communication,Yes,Communication strategy established with internal and external communication channels,docs/Clause5_Leadership_new/AI_Management_Policy.md,2024-12-19,2025-03-19,Regular meetings, documentation, and stakeholder communication
A.3.5,Documented information,Yes,Comprehensive documentation framework established with version control,docs/Clause7_Support/AIMS_Document_Control_Procedure.md,2024-12-19,2025-03-19,Documentation management procedures in place
A.4.1,Operational planning and control,Yes,Operational planning and controls defined and implemented,docs/Clause8_Operation/AI_Operational_Planning_and_Control.md,2024-12-19,2025-03-19,Aligned to MCP + fallback + validations
A.4.2,AI system impact assessment,Yes,Systematic risk/impact assessment process established with AI risk scenarios,docs/Clause8_Operation/AI_System_Impact_Assessment.md,2024-12-19,2025-03-19,Covers bias, hallucination, prompt injection
A.4.3,AI system requirements,Yes,Requirements established for development and operation,docs/Clause4_Context_new/AIMS_Scope_and_Boundaries.md,2024-12-19,2025-03-19,Functional and non-functional requirements defined
A.4.4,AI system design and development,Partial,Process defined; more detailed procedures to codify,README.md,2024-12-19,2025-03-19,Enhance Section in Clause 8 docs
A.4.5,AI system validation and testing,Partial,Testing framework in place; expand coverage,tests/,2024-12-19,2025-03-19,Add test coverage targets in Clause 9
A.4.6,AI system deployment,Partial,Deployment process in place; formalize pipeline,README.md,2024-12-19,2025-03-19,See deployment reliability objective
A.4.7,AI system operation and monitoring,Yes,Monitoring and logging procedures documented,docs/Clause9_Performance_Evaluation/AI_Performance_Monitoring_and_Measurement.md,2024-12-19,2025-03-19,Real-time metrics + alerts
A.4.8,AI system maintenance,Partial,Maintenance approach defined; SOPs to expand,README.md,2024-12-19,2025-03-19,Planned SOPs for maintenance
A.4.9,AI system change management,Yes,Formal change management procedure documented,docs/Clause6_Planning_new/AI_Change_Management_Procedure.md,2024-12-19,2025-03-19,Includes rollback and approvals
A.4.10,AI system incident management,Yes,Incident response procedure documented,docs/Clause8_Operation/AI_Incident_Response_Procedure.md,2024-12-19,2025-03-19,Playbooks and SLAs defined
A.4.11,AI system decommissioning,Yes,Decommissioning procedure documented in operations,docs/Clause8_Operation/AI_Operational_Planning_and_Control.md#819-decommissioning-procedure,2025-08-06,2025-11-06,Evidence: docs/Evidence_Index.md
A.5.1,Monitoring, measurement, analysis and evaluation,Yes,Monitoring framework documented with KPIs,docs/Clause9_Performance_Evaluation/AI_Performance_Monitoring_and_Measurement.md,2024-12-19,2025-03-19,Dashboards, logs, reports
A.5.2,Internal audit,Yes,Internal audit procedure documented,docs/Clause9_Performance_Evaluation/AI_Internal_Audit_Procedure.md,2024-12-19,2025-03-19,Use checklist template in docs/templates/
A.5.3,Management review,Yes,Management review procedure documented,docs/Clause9_Performance_Evaluation/AI_Management_Review.md,2024-12-19,2025-03-19,Use minutes template in docs/templates/
A.6.1,Nonconformity and corrective action,Yes,NCR/CAPA procedure documented,docs/Clause10_Improvement/AI_Nonconformity_and_Corrective_Action.md,2024-12-19,2025-03-19,Template: docs/templates/NCR_CAPA_Template.md
A.6.2,Continual improvement,Yes,Continual improvement framework documented,docs/Clause10_Improvement/AI_Continual_Improvement.md,2024-12-19,2025-03-19,Linked to KPIs and audits
